C_ID,C_Name,address,phone,mail,individual,signup_date,gender
,Jason Mendoza,"8489 Kevin Stream Apt. 328
Sylviaville, CO 47689",03-9819582,victoriaperez@example.com,0,2022-01-04 08:53,1
,Nicholas Baker,"0362 Yvonne Walks Suite 659
New Johnside, CA 66211",076 82797990,donald21@example.net,1,2022-01-04 08:53,1
,Mrs. Christina Hendricks,"762 Adrian View Suite 919
Lake Pamelamouth, RI 90986",(05) 31603264,stephenmedina@example.com,0,2022-01-04 08:53,1
,David Maldonado,"94688 Jensen Ferry
Pamelaland, TN 85455",(01) 15080264,michaeldavis@example.com,1,2022-01-04 08:53,1
,Travis Mcmillan,"647 Hunter Brook Suite 095
Port Kimberlyhaven, NC 08788",978333268,chandlerangela@example.net,0,2022-01-04 08:53,1
,Darlene Murray,"82058 Smith Manors Suite 201
West Olivia, AZ 95797",962079543,susan35@example.com,1,2022-01-04 08:53,0
,Paige Wilson,"91003 Aaron Mountains Apt. 323
Warrenfurt, KS 56342",(06) 28744974,keith93@example.net,0,2022-01-04 08:53,1
,Andrea Hernandez,"47380 Bauer Plains Suite 552
Lake Kyle, WI 79342",06 6644637,don69@example.com,1,2022-01-04 08:53,0
,Rachel Wilson,"59390 Victoria Pine Suite 467
Tiffanyville, WI 13454",05 8930276,garcianatalie@example.net,0,2022-01-04 08:53,1
,Riley Mckinney,"291 Brandon Fork
West Toddview, TX 96764",023 47309295,hallamanda@example.com,1,2022-01-04 08:53,0
,Tyler Holmes,"824 Davis Via Suite 309
Port Rachael, KY 54428",951956823,jamesjackie@example.net,0,2022-01-04 08:53,1
,Troy Malone,"467 Turner Land Apt. 934
Brownmouth, HI 65178",0966-706907,david02@example.com,1,2022-01-04 08:53,1
,Lawrence Jones,"440 Mitchell Burgs Suite 097
South Micheal, VT 17200",02 7730360,ronald50@example.com,1,2022-01-04 08:53,0
,Alyssa Wright,"59072 Burgess River
South Ianport, MD 54877",(01) 34621626,nathan30@example.net,1,2022-01-04 08:53,1
,Linda Nguyen,"921 Andrew Inlet Suite 547
Lake Ronaldfurt, FL 81428",08-9435625,vmoore@example.com,0,2022-01-04 08:53,0
,Sheila Perez,"3796 Nelson Roads Apt. 447
South Blakefurt, MI 53367",08-4577390,vhall@example.net,0,2022-01-04 08:53,1
,Johnny May,"USNS Rodriguez
FPO AA 90511",901239733,alexandraboyd@example.org,0,2022-01-04 08:53,0
,Julie Huang,"88513 Travis Skyway
Christineport, NY 17160",0935-140016,brandonreese@example.org,0,2022-01-04 08:53,0
,Christina Fuentes,"Unit 4760 Box 0055
DPO AP 38453",(02) 66788530,berrydiane@example.com,0,2022-01-04 08:53,1
,Katrina Smith,"316 Thomas Land Apt. 041
New Brianfort, ME 39238",(05) 24564281,walkerwilliam@example.org,1,2022-01-04 08:53,0
,Sandra Wilson PhD,"PSC 7489, Box 6245
APO AE 51941",02-8738229,jklein@example.org,1,2022-01-04 08:53,0
,Jennifer Nguyen,"9251 Zachary Circles Apt. 037
West Patricia, AK 94319",01-3679410,jamesallen@example.net,0,2022-01-04 08:53,1
,Franklin Espinoza,"620 Samantha Junctions
Port Danielside, TX 90999",08-4536202,sandra51@example.net,0,2022-01-04 08:53,1
